aaaaaaaaaaaaa aaaaaaaaaaa 4.00;
bbbbbbbbbbbbb bbbbbbbbbbbb 2.00;
iiiiiiiiiiii iiiiiiiiiii 3.00;
rrrrrrrrrrrrr rrrrrrrrrrrrr 1.00;
wwwwwwwwwwwww wwwwwwwwwww 5.00;
Opel_Astra Antonov 156.28;
Kia_Rio Denisov 672.34;
Toyota_Camry Ivanov 324.56;
Hyundai_Solaris Kozlov 897.63;
Lada_Granta Kuznetsov 54.12;
BMW_X5 Petrov 192.75;
Volkswagen_Polo Sidorov 98.23;
Ford_Focus Smith 256.98;
Chevrolet_Niva Sokolov 278.45;
Renault_Logan Volkov 435.87;
Renault_Logan Volkov 435.87;
Chevrolet_Niva Sokolov 278.45;
Ford_Focus Smith 256.98;
Volkswagen_Polo Sidorov 98.23;
BMW_X5 Petrov 192.75;
Lada_Granta Kuznetsov 54.12;
Hyundai_Solaris Kozlov 897.63;
Toyota_Camry Ivanov 324.56;
Kia_Rio Denisov 672.34;
Opel_Astra Antonov 156.28;
Hyundai_Solaris Kozlov 897.63;
Kia_Rio Denisov 672.34;
Renault_Logan Volkov 435.87;
Toyota_Camry Ivanov 324.56;
Chevrolet_Niva Sokolov 278.45;
Ford_Focus Smith 256.98;
BMW_X5 Petrov 192.75;
Opel_Astra Antonov 156.28;
Volkswagen_Polo Sidorov 98.23;
Lada_Granta Kuznetsov 54.12;
Lada_Granta Kuznetsov 54.12;
Volkswagen_Polo Sidorov 98.23;
Opel_Astra Antonov 156.28;
BMW_X5 Petrov 192.75;
Ford_Focus Smith 256.98;
Chevrolet_Niva Sokolov 278.45;
Toyota_Camry Ivanov 324.56;
Renault_Logan Volkov 435.87;
Kia_Rio Denisov 672.34;
Hyundai_Solaris Kozlov 897.63;
BMW_X5 Petrov 192.75;
Chevrolet_Niva Sokolov 278.45;
Ford_Focus Smith 256.98;
Hyundai_Solaris Kozlov 897.63;
Kia_Rio Denisov 672.34;
Lada_Granta Kuznetsov 54.12;
Opel_Astra Antonov 156.28;
Renault_Logan Volkov 435.87;
Toyota_Camry Ivanov 324.56;
Volkswagen_Polo Sidorov 98.23;
Volkswagen_Polo Sidorov 98.23;
Toyota_Camry Ivanov 324.56;
Renault_Logan Volkov 435.87;
Opel_Astra Antonov 156.28;
Lada_Granta Kuznetsov 54.12;
Kia_Rio Denisov 672.34;
Hyundai_Solaris Kozlov 897.63;
Ford_Focus Smith 256.98;
Chevrolet_Niva Sokolov 278.45;
BMW_X5 Petrov 192.75;
BMW_X5 Petrov 192.75;
Chevrolet_Niva Sokolov 278.45;
Ford_Focus Smith 256.98;
Hyundai_Solaris Kozlov 897.63;
Kia_Rio Denisov 672.34;
Lada_Granta Kuznetsov 54.12;
Opel_Astra Antonov 156.28;
Renault_Logan Volkov 435.87;
Toyota_Camry Ivanov 324.56;
Volkswagen_Polo Sidorov 98.23;
